date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:28	309131/309131	---M-Z	200	added ('OK')	text/html	etag:W/%2233fbb1d0c600c52ad99163c618348439--gzip%22	https://antoraenergy.com/	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/antoraenergy.com/index.html	(from )
14:29:28	327/327	---M-Z	200	added ('OK')	text/plain	date:Mon,%2013%20Jun%202022%2023:49:30%20GMT	https://antoraenergy.com/robots.txt		(from )
14:29:29	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Wed,%2015%20Jun%202022%2021:29:28%20GMT	http://static1.squarespace.com/static/61cce1ec2ed28d268711c055/t/61f4415a445a061a34f4df27/1643397466324/Horizontal.png?format=1500w	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/static1.squarespace.com/static/61cce1ec2ed28d268711c055/t/61f4415a445a061a34f4df27/1643397466324/Horizontal.026f7.delayed	(from https://antoraenergy.com/)
14:29:30	183/183	---M-Z	200	added ('OK')	text/javascript	etag:%226e08f72e91b9bf28c4e827726dcfac4a%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-df0bcb3fb161c9761a2a8-min.en-US.js	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-df0bcb3fb161c9761a2a8-min.en-US.js	(from https://antoraenergy.com/)
14:29:31	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://antoraenergy.com/)
14:29:34	42137/42137	---M--	200	added ('OK')	image/png	etag:CICVhtGU1fUCEAE=	https://images.squarespace-cdn.com/content/61cce1ec2ed28d268711c055/f5b07ed6-1632-4c2e-95ab-cb08f49b6d72/Horizontal.png?format=1500w&content-type=image%2Fpng	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/images.squarespace-cdn.com/content/61cce1ec2ed28d268711c055/f5b07ed6-1632-4c2e-95ab-cb08f49b6d72/Horizontal2acd.png	(from https://antoraenergy.com/)
14:29:35	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://antoraenergy.com/)
14:29:35	121481/121481	---M-Z	200	added ('OK')	text/javascript	etag:%22713060c46bea7b774c670d8d1582f9b8%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-51def4af8f210f9d1e4fa-min.en-US.js	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-51def4af8f210f9d1e4fa-min.en-US.js	(from https://antoraenergy.com/)
14:29:48	245961/245961	---M-Z	200	added ('OK')	text/javascript	etag:%22f82a717dbd72eebca89b6ad1e26438c8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-1f7107f1c77c3d102a5a3-min.en-US.js	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-1f7107f1c77c3d102a5a3-min.en-US.js	(from https://antoraenergy.com/)
14:29:48	575871/575871	---M-Z	200	added ('OK')	text/javascript	etag:%22236f9b75f28ba39aa3a9da264796423f%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-0c99b8bf7f3dd5358b2f5-min.en-US.js	C:/Users/Moe/Dropbox/PC/Downloads/web/Web/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-0c99b8bf7f3dd5358b2f5-min.en-US.js	(from https://antoraenergy.com/)
